text,label
"A wholesome episode where the heroes learn teamwork and courage.",safe
"A descriptive review of animation quality, with notes on music and cinematography.",safe
"An interview with the director about inspiration and production challenges.",safe
"A recap of the latest tournament arc focusing on strategy and friendship.",safe
"A scene where two characters shake hands and promise to support one another.",safe
"A behind-the-scenes article exploring voice acting techniques and sound design.",safe
"A gentle description of a romantic date that ends with a comforting hug.",safe
"A plot summary describing a friendship-driven subplot between classmates.",safe
"A review of episode pacing and character development across the season.",safe
"An editorial about industry trends and distribution models for streaming.",safe
"Short narratives about traveling to conventions and meeting fan communities.",safe
"Discussion of cultural influences in classic anime series and references.",safe
"Character biography detailing childhood, goals, and non-romantic relationships.",safe
"An article describing cosplay craftsmanship and sewing techniques.",safe
"A synopsis that mentions a character's crush but contains no sexual content.",safe
"A commentary on art direction and background design in scenic episodes.",safe
"An op-ed about adapting manga to anime format without losing nuance.",safe
"A non-sexualized scene where characters share a heartfelt conversation.",safe
"A family-friendly scene centering on community and helping neighbors.",safe
"A short scene in which characters practice music together and progress.",safe
"Yuri and Hiroshi, newly married, explore their life as partners and support each other emotionally.",suggestive
"She blushes when praised by him; their closeness grows, and they share intimate moments together.",suggestive
"The couple finds themselves drawn together nightly, learning about affection and closeness.",suggestive
"A shy protagonist experiences first romantic touches and awkward but tender moments.",suggestive
"A sensual but non-graphic description of two adults discovering emotional intimacy.",suggestive
"A romance subplot where physical attraction is implied and handled delicately.",suggestive
"A story where passionate kissing and private conversations hint at deeper desire.",suggestive
"The narrative focuses on adults exploring their relationship and intimate feelings.",suggestive
"Mutual attraction develops; they feel curious and experiment with physical closeness.",suggestive
"A scene in which consenting adults experience gradual, emotional physical exploration.",suggestive
"Two partners, both consenting adults, grow closer and share affectionate encounters.",suggestive
"A chapter that mentions the couple practicing together as they navigate married life.",suggestive
"The page contains suggestive fanfiction describing emotional and physical awakening.",suggestive
"A short text about flirtatious encounters at a party that lead to private moments.",suggestive
"An intimate passage focusing on the emotional vulnerability of the characters.",suggestive
"A tender but clearly adult romance vignette with mild sexual context.",suggestive
"This passage contains explicit adult content and is intended for mature audiences.",explicit
"The chapter describes graphic adult scenes with vivid sexual themes intended to arouse.",explicit
"A detailed adult-oriented vignette that centers on explicit sexual encounters between consenting adults.",explicit
"The story graphically portrays an adult relationship focusing on sexual acts and erotic details.",explicit
"Explicit sexual content: the narrative includes adult scenes described in a direct manner.",explicit
"A mature fanfiction that contains explicit sexual themes and adult roleplay scenarios.",explicit
"This is an erotic passage aimed at adults, featuring explicit depictions of intimacy.",explicit
"A mature scene with explicit sexual content, intended for adult readers only.",explicit
"An adult-oriented narrative describing explicit intimacy and sexual encounters.",explicit
"The prose explicitly focuses on sexual actions and adult eroticism, not suitable for minors.",explicit
"A highly explicit passage that concentrates on sexual interactions and arousal for adult readers.",explicit
"An erotic chapter that contains graphic sexual descriptions intended for adult audiences.",explicit
"Content warning: includes detailed, explicit adult scenes and sexual descriptions.",explicit
"A graphic adult scene described with direct sexual language and explicit detail.",explicit
"Explicit content: sexual imagery and explicit adult activity are central in this text.",explicit
"An explicit erotic story describing adult intimacy in vivid, sexual detail.",explicit
"A passage with explicit adult content; it includes direct descriptions of sexual scenarios.",explicit
"The scene contains explicit sexual content and mature themes; viewer discretion advised.",explicit
"An openly erotic excerpt in which adult characters engage in explicit sexual behavior.",explicit
"A short explicit excerpt that centers on sexual acts and erotic detail for adult readers.",explicit
"The chapter conveys explicit sexual content and detailed erotic descriptions for mature audiences.",explicit
"An adult erotic summary that details explicit intimate behavior in a direct manner.",explicit
"A short explicit passage focusing on explicit sexual expressions and mature themes.",explicit
"A suggestive review mentioning explicit scenes in a mature-rated episode.",explicit
